Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
American Samoa,ASM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,11.760709,11.760709,11.760709,11.760709,11.760709,11.760709,11.760709,11.760709,11.760709,11.760709
American Samoa,ASM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.19,1.27,..,..,..,..,..,..,..,..
Andorra,AND,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.4,4.2,4,3.9,3.7,3.5,3.3,3.2,3,2.9
Andorra,AND,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.14,3.01,3.12,2.78,2.44,2.508220174,2.576440347,2.644660521,2.712880694,2.781100868
Andorra,AND,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.26,6.194,6.12,6.039,5.953,5.864,5.774,5.686,5.6,5.519
Angola,AGO,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,80.4,75.7,71.4,67.2,63.5,60.5,57.9,55.7,53.8,52
Angola,AGO,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.3125,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57
Angola,AGO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,5840,5950,6120,6790,7090,7630,6900,6660,6770,6500
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6471.284879,6586.465819,6700.1141,7389.31496,7643.921944,8123.048065,7274.090475,7027.146634,7216.061373,7043.95536
Antigua and Barbuda,ATG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.006,1.785,1.746,1.655,1.537,1.526,1.567,1.458,1.485,1.371
Antigua and Barbuda,ATG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.8,8.3,7.9,7.5,7.1,6.8,6.5,6.2,6,5.7
Antigua and Barbuda,ATG,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
Antigua and Barbuda,ATG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,24970,23340,22940,21680,21170,20830,19920,20150,20600,22470
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,25923.11203,23850.14027,23584.27145,22350.49328,21806.39202,21788.6401,21162.09279,21558.99543,21672.04489,23604.83696
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.344,2.346,2.338,2.33,2.322,2.312,2.301,2.241,2.168,2.039
Argentina,ARG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13.4,12.9,12.4,11.9,11.4,10.9,10.3,9.8,9.1,8.4
Argentina,ARG,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.81,4.52,4.862827508,5.205655017,5.23053907,5.091951992,5.252176304,5.057613052,4.986739956,4.928763096
Argentina,ARG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,15750,17450,18770,19180,19700,19280,19730,19860,22990,22460
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16249.73013,18063.91434,19322.22712,19641.35286,20131.68042,19683.77151,20105.19899,20307.87005,23597.11775,23294.09868
Armenia,ARM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.551,1.501,1.5,1.6,1.6,1.703,1.602,1.626,1.562,1.572
Armenia,ARM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,17.4,16.6,15.7,15,14.2,13.5,12.9,12.2,11.6,11.1
Armenia,ARM,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.801362229,2.854241486,2.907120743,2.96,2.55,2.1,2.696449093,2.444892245,2.290943235,2.359086585
Armenia,ARM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,7340,7690,8160,9640,10430,10570,10540,11220,12950,13770
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7045.330725,7331.386504,7881.771735,9267.397006,9822.947441,10114.93984,10132.31898,10966.85333,12509.63961,13549.52242
Aruba,ABW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.919,1.941,1.962,2.028,2.117,2.148,1.972,1.953,1.839,1.587
Aruba,ABW,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.53,6.58,5.77,6.853292775,6.856034831,6.074893693,6.147063113,5.752084034,5.752084034,5.752084034
Aruba,ABW,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,33950,32270,32440,33240,34710,35490,35770,35880,36720,37890
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,35167.53132,34227.82873,35778.4918,34788.25121,36931.05721,36844.05306,37341.12484,37581.77852,38868.33392,40549.61082
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.971,1.928,1.926,1.92,1.855,1.826,1.814,1.752,1.741,1.74
Australia,AUS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.2,4,3.8,3.6,3.5,3.3,3.3,3.2,3.2,3.2
Australia,AUS,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.8,5.08,4.85,5.05,4.954602931,4.859205862,5.010341286,5.010341286,5.010341286,5.010341286
Australia,AUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,38900,37840,40340,41560,44790,45690,45350,46170,47090,48670
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,40312.39512,39374.60592,42025.46458,42866.60433,45936.04931,46914.38671,46292.09544,47289.28591,48418.55842,50251.33534
Austria,AUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.39,1.44,1.43,1.44,1.44,1.46,1.49,1.53,1.52,1.47
Austria,AUT,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.7,3.6,3.5,3.3,3.2,3.1,3,3,2.9,2.9
Austria,AUT,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.55,5.4,5.4,5.21,5.280520851,5.169448519,5.208307197,5.137736954,5.059438657,4.90120079
Austria,AUT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,40900,42360,44600,46500,48050,48860,49370,52680,53670,56380
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,40918.5201,42007.29375,44452.73275,46457.34578,47922.04912,48799.71547,49865.90394,52684.01711,54172.98679,56937.94428
Azerbaijan,AZE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.82,1.92,1.96,2,1.98,1.97,1.94,1.9,1.75,1.73
Azerbaijan,AZE,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,34.6,32.5,30.5,28.5,26.7,25,23.3,21.8,20.4,19.2
Azerbaijan,AZE,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.42,2.9,2.56,2.154429623,2.457936764,2.605416717,2.98260132,3.028736255,2.537727385,2.544468779
Azerbaijan,AZE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,12940,13800,13790,15050,16330,16940,14460,13510,13590,13850
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13972.59478,14678.77374,14804.57445,15957.71885,17188.94551,17443.87826,14938.40113,14371.02274,14121.40694,14551.20011
"Bahamas, The",BHS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.009,1.835,1.739,1.744,1.51,1.673,1.576,1.496,1.426,1.412
"Bahamas, The",BHS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13.6,13.3,13,12.7,12.4,12.2,12,11.9,11.8,11.7
"Bahamas, The",BHS,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.8356,3.8356,3.8356,3.8356,3.8356,3.8356,3.8356,3.8356,3.8356,3.8356
"Bahamas, The",BHS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,28800,28950,29360,29920,29060,30020,30400,30590,32550,33290
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,29242.29052,29629.25251,30053.67112,30723.17302,29911.91684,31255.38771,31746.80338,32112.20389,34067.84618,35647.13697
Bahrain,BHR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.087,2.053,2.093,2.161,2.164,2.158,2.131,2.073,2.006,1.93
Bahrain,BHR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7.6,7.3,7,6.7,6.6,6.5,6.4,6.3,6.2,6.1
Bahrain,BHR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.6475,2.735,2.8225,2.91,2.91,2.91,2.91,2.91,2.91,2.91
Bahrain,BHR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,41820,43510,43420,52020,51700,49530,43330,42760,46190,47360
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,46708.73586,47929.44346,49960.26787,53778.48867,53672.10422,52073.98462,45900.70303,45281.30192,48929.44701,50114.15039
Bangladesh,BGD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.44,2.34,2.262,2.209,2.184,2.152,2.114,2.097,2.043,2.04
Bangladesh,BGD,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,40.7,38.9,37.2,35.5,34,32.4,31,29.5,28.1,26.7
Bangladesh,BGD,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.59,1.778028322,1.966056644,1.876816858,1.862828891,1.848840925,1.834852959,1.820864993,1.662468555,1.504072117
Bangladesh,BGD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2930,3100,3330,3740,3990,4220,4450,4770,5000,5460
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2751.217878,2906.05192,3119.929973,3493.922821,3734.725651,3997.286701,4216.719739,4558.563895,4830.776291,5247.694696
Barbados,BRB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.711,1.687,1.665,1.645,1.63,1.62,1.614,1.613,1.615,1.619
Barbados,BRB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13.9,13.8,13.7,13.6,13.5,13.3,13,12.8,12.5,12.1
Barbados,BRB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.6,5.78,5.585,5.39,5.785825414,6.181650827,5.453787027,4.725923227,4.368421697,3.801934604
Barbados,BRB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,16100,16160,15670,15150,15120,14960,15260,15660,15510,15680
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16814.08293,16573.82236,16744.36654,15739.04167,15775.08686,15613.28135,15978.84185,16406.27369,16233.79215,16449.62857
Belarus,BLR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.509,1.494,1.515,1.62,1.668,1.696,1.724,1.733,1.541,1.448
Belarus,BLR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.6,4.3,4,3.7,3.5,3.3,3.1,2.9,2.7,2.5
Belarus,BLR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.4,4.95,4.51,4.77,4.88,4.69,4.761088762,4.985403005,4.701528268,4.721293508
Belarus,BLR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,13740,15050,16380,17700,18330,18440,17330,16950,17670,18730
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14050.57155,15361.8317,16563.20141,18105.28672,18994.19019,19007.99732,18095.70342,17785.9432,18356.06606,19430.90921
Belgium,BEL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.84,1.86,1.81,1.8,1.76,1.74,1.7,1.68,1.65,1.62
Belgium,BEL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.8,3.7,3.6,3.5,3.4,3.4,3.4,3.3,3.4,3.4
Belgium,BEL,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.25,6.1,6.12,6.114637256,6.109274512,6.143607715,6.04093798,6.04448602,6.040430704,5.980705833
Belgium,BEL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,38450,40450,41010,43270,44750,45870,46850,49060,50900,53000
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,37749.90919,39838.04051,40942.37271,42290.76205,43671.11959,44929.68559,46200.90445,48597.39998,50442.27054,52530.56208
Belize,BLZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.701,2.606,2.585,2.555,2.53,2.491,2.438,2.394,2.36,2.345
Belize,BLZ,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,16.6,16.2,15.7,15.2,14.5,13.9,13.2,12.5,11.8,11.2
Belize,BLZ,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,6.242857143,6.471428571,6.7,6.545,6.39,6.39,6.39,6.39,6.39,6.39
Belize,BLZ,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,9130,8870,9080,8520,8730,8600,8850,8640,8310,8320
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9645.413767,9638.917829,9588.608909,9096.728903,9278.691134,9191.04276,9250.639508,9088.987347,8798.699057,8929.624538
Benin,BEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.436,5.39,5.366,5.347,5.345,5.348,5.319,5.303,5.269,5.199
Benin,BEN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,70.9,69.6,68.4,67.1,65.8,64.6,63.3,62,60.8,59.5
Benin,BEN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.3,4.79,4.775,4.76,4.69,4.55,2.933139279,2.933139279,2.933139279,2.933139279
Benin,BEN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2290,2290,2350,2410,2580,2730,2770,2880,2900,3080
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2294.602793,2302.687791,2350.356452,2427.432659,2590.925045,2745.858612,2792.609645,2901.264671,2933.837384,3113.254758
Bermuda,BMU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.76,1.7,1.6,1.6,1.6,1.4,1.4,1.4,1.4,1.3
Bermuda,BMU,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.91,2.1,1.965652641,1.831305282,1.696957923,1.562610564,1.428263205,1.428263205,1.428263205,1.428263205
Bermuda,BMU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,72180,71790,70450,72180,71390,74460,78530,85190,86090
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,71022.30785,70627.82219,69998.84342,67453.82052,68993.22749,68775.44674,71873.22806,76362.05141,81834.95587,83380.8749
Bhutan,BTN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.381,2.296,2.21,2.138,2.087,2.027,1.957,1.835,1.704,1.569
Bhutan,BTN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,36,34.1,32.5,31,29.7,28.5,27.4,26.4,25.5,24.7
Bhutan,BTN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.02,3.05,3.37,3.979573022,4.589146045,5.198719067,5.808292089,5.808292089,5.808292089,5.808292089
Bhutan,BTN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,5900,6510,7040,7530,7690,8350,9180,9980,10660,11180
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6139.82066,6878.602685,7498.955522,8140.41451,8233.168784,8949.740967,9839.287269,10866.38476,11619.06451,12218.50735
Bolivia,BOL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.287,3.213,3.143,3.076,3.01,2.947,2.886,2.829,2.777,2.73
Bolivia,BOL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,35,33.2,31.5,29.8,28.3,26.9,25.6,24.5,23.5,22.6
Bolivia,BOL,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,7.37,7.21,6.55,6.058247343,6.069123671,6.08,6.08,6.08,6.08,6.08
Bolivia,BOL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,4710,4850,5140,5460,6100,6560,6750,7210,8000,8460
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4902.610577,5079.382721,5363.987903,5814.070135,6500.876807,6920.778861,6992.127581,7345.826841,8244.933446,8669.827849
Bosnia and Herzegovina,BIH,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.299,1.276,1.216,1.29,1.276,1.262,1.289,1.324,1.355,1.384
Bosnia and Herzegovina,BIH,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6.6,6.3,6,5.8,5.6,5.5,5.4,5.4,5.3,5.2
Bosnia and Herzegovina,BIH,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,9030,9240,9840,10190,10930,11240,11910,12890,13470,14720
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8698.911419,9089.089179,9757.991528,10109.3161,10788.20001,11148.38783,11826.07826,12869.66255,13582.26698,14801.32253
Botswana,BWA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.045,3.023,2.999,2.981,2.964,2.951,2.942,2.93,2.91,2.903
Botswana,BWA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,48.7,48.3,48,42.9,39.7,38.7,36.6,35.3,32.3,30.9
Botswana,BWA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48
Botswana,BWA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,11020,11660,12890,12300,12240,13900,12970,13970,13410,13900
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11119.80616,12139.74973,12976.5292,12069.71852,12833.54392,14338.57408,13420.5066,15277.04232,14656.77299,15321.52235
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.825,1.81,1.8,1.767,1.748,1.767,1.777,1.709,1.736,1.749
Brazil,BRA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,17.5,16.7,16,15.4,14.9,14.6,14.3,15.1,13.8,13.5
Brazil,BRA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,5.4,5.39,5.49,5.54,5.55178246,5.663455546,6.109580075,6.2336317,6.281311255,6.070579174
Brazil,BRA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,12930,13810,14600,14620,15320,15370,14420,13910,14210,14550
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13222.74888,14254.51977,14989.15778,14994.34347,15535.72377,15664.80174,14692.63231,14208.16111,14477.86177,14971.05467
British Virgin Islands,VGB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.227,1.183,1.269,1.103,1.08,1.237,1.186,0.987,0.872,0.917
British Virgin Islands,VGB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13.9,13.6,13.3,13,12.7,12.3,12,11.6,11.3,10.9
British Virgin Islands,VGB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.921,1.937,1.957,1.973,1.978,1.969,1.947,1.915,1.881,1.848
Brunei Darussalam,BRN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7.8,7.9,8.1,8.2,8.4,8.6,8.8,9,9.2,9.4
Brunei Darussalam,BRN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.191,2.03,2.356690615,2.683381229,3.010071844,3.336762458,3.663453073,3.990143687,3.990143687,3.990143687
Brunei Darussalam,BRN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,77370,78210,80090,84510,81390,79960,64670,59540,63750,61460
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,76993.47462,78784.82722,82300.65605,86588.60952,82305.27625,80027.9853,61572.6217,55477.4694,60173.05113,61084.25804
Bulgaria,BGR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.66,1.57,1.51,1.5,1.48,1.53,1.53,1.54,1.56,1.56
Bulgaria,BGR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,9.3,9.1,8.7,8.2,7.7,7.3,6.8,6.4,6.1,5.8
Bulgaria,BGR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.22,3.98,3.69,3.57,3.846519341,3.880326127,3.914132913,3.947939699,3.981746485,3.979993379
Bulgaria,BGR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,13730,14650,15250,16110,16280,17470,17820,19450,20990,22260
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14181.88787,14958.27228,15747.39237,16327.12876,16649.25249,17616.38795,18386.11253,20065.47934,21458.04936,23006.08106
Burkina Faso,BFA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.992,5.936,5.869,5.793,5.697,5.595,5.478,5.324,5.162,5.069
Burkina Faso,BFA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,70.5,68.3,66.4,64.6,62.9,61.2,59.7,58.3,56.9,55.6
Burkina Faso,BFA,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.035385601,3.23,4.13,3.62,4.31,4.31,4.31,4.31,4.31,4.31
Burkina Faso,BFA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1350,1410,1470,1530,1590,1570,1580,1750,1900,2030
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1364.895645,1454.578747,1536.808944,1568.066859,1629.317836,1637.928051,1657.916107,1833.433053,1978.155012,2100.530924
Burundi,BDI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.409,6.26,6.108,5.991,5.889,5.794,5.695,5.587,5.481,5.38
Burundi,BDI,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,62.8,59.4,56.3,53.5,50.8,48.4,46.3,44.5,42.9,41.3
